package,fun,args,calls
geopandas,GeoDataFrame,geometry,98
geopandas,GeoDataFrame,crs geometry,64
geopandas,GeoSeries,crs,59
rasterio,src.read,masked,37
pyogrio,read_dataframe,use_arrow,37
geopandas,read_file,engine,34
geopandas,GeoDataFrame,crs,33
pyogrio,write_dataframe,use_arrow,33
rasterio,dst.write,indexes,27
rasterio,rasterio.open,count driver dtype height width,25
geopandas,GeoSeries,index,25
rioxarray,rds.isel,x y,24
rioxarray,xr.DataArray,dims,21
rasterio,rasterio.open,opener,19
geopandas,GeoSeries,crs index,18
geopandas,GeoDataFrame,index,16
geopandas,geopandas.GeoDataFrame,crs,15
geopandas,geopandas.GeoDataFrame,crs geometry,14
geopandas,geopandas.GeoDataFrame,geometry,14
geopandas,GeoDataFrame.from_file,engine,14
geopandas,GeoDataFrame,columns,13
geopandas,GeoDataFrame,geometry index,12
geopandas,read_file,engine mask,12
geopandas,GeoSeries,crs name,11
geopandas,df.explode,index_parts,11
rasterio,src.read,window,10
rasterio,dst.write,window,10
rioxarray,xds.analysed_sst.rio.set_spatial_dims,x_dim y_dim,10
geopandas,df.to_crs,epsg,10
geopandas,df.reindex,columns,10
geopandas,df.apply,axis,10
geopandas,GeoDataFrame,columns geometry,10
geopandas,df.to_parquet,write_covering_bbox,10
pyogrio,read_dataframe,sql sql_dialect use_arrow,10
rasterio,src.build_overviews,resampling,9
rasterio,src.read,boundless window,9
rasterio,src.tags,ns,9
rioxarray,rioxarray.open_rasterio,chunks,9
geopandas,df.plot,cmap column k legend legend_kwds scheme,9
geopandas,GeoDataFrame,columns crs,9
geopandas,GeoDataFrame,data geometry,9
geopandas,df.iterfeatures,na,9
geopandas,gdf.to_arrow,geometry_encoding,9
rasterio,rasterio.Env,GDAL_NUM_THREADS,8
rasterio,rasterio.open,count height width,8
geopandas,df.drop,columns,8
geopandas,df.to_file,driver engine,8
geopandas,geopandas.read_file,engine,8
