"package","fun","args","calls"
"gdalraster","addFilesInZip","content_type full_paths num_threads sozip_chunk_size sozip_enabled sozip_min_file_size",1
"gdalraster","addFilesInZip","full_paths num_threads overwrite sozip_enabled",1
"gdalraster","addFilesInZip","full_paths num_threads sozip_enabled",1
"gdalraster","addFilesInZip","full_paths sozip_enabled",1
"gdalraster","autoCreateWarpedVRT","alpha_band",1
"gdalraster","autoCreateWarpedVRT","resample_alg",1
"gdalraster","bandCopyWholeRaster","options",5
"gdalraster","bbox_from_wkt","extend_x extend_y",1
"gdalraster","bbox_transform","use_transform_bounds",1
"gdalraster","bbox_union","as_wkt",1
"gdalraster","buildRAT","join_df na_value table_type",5
"gdalraster","buildVRT","cl_arg",3
"gdalraster","calc","dtName expr nodata_value rasterfiles setRasterNodataValue var.names",3
"gdalraster","calc","dstfile dtName expr nodata_value rasterfiles setRasterNodataValue var.names",2
"gdalraster","calc","dtName expr fmt nodata_value quiet rasterfiles return_obj setRasterNodataValue var.names",2
"gdalraster","calc","dtName expr rasterfiles setRasterNodataValue var.names",2
"gdalraster","calc","rasterfiles var.names",2
"gdalraster","calc","bands dstfile dtName expr nodata_value quiet rasterfiles setRasterNodataValue var.names",1
"gdalraster","calc","bands dstfile expr out_band quiet rasterfiles var.names write_mode",1
"gdalraster","calc","bands dstfile expr out_band rasterfiles var.names write_mode",1
"gdalraster","calc","bands dtName expr fmt nodata_value rasterfiles setRasterNodataValue var.names",1
"gdalraster","calc","bands dtName expr nodata_value rasterfiles setRasterNodataValue var.names",1
"gdalraster","calc","dstfile dtName expr fmt nodata_value quiet rasterfiles return_obj setRasterNodataValue var.names",1
"gdalraster","calc","dstfile dtName expr nodata_value out_band quiet rasterfiles var.names",1
"gdalraster","calc","dstfile dtName expr nodata_value quiet rasterfiles return_obj setRasterNodataValue var.names",1
"gdalraster","calc","dstfile dtName expr nodata_value quiet rasterfiles setRasterNodataValue var.names write_mode",1
"gdalraster","calc","dstfile dtName nodata_value setRasterNodataValue",1
"gdalraster","calc","dstfile expr quiet rasterfiles var.names write_mode",1
"gdalraster","calc","dtName expr fmt nodata_value rasterfiles return_obj setRasterNodataValue var.names",1
"gdalraster","calc","dtName expr nodata_value rasterfiles setRasterNodataValue",1
"gdalraster","calc","dtName fmt return_obj setRasterNodataValue var.names",1
"gdalraster","calc","expr rasterfiles var.names",1
"gdalraster","combine","options",1
"gdalraster","create","dataType dst_filename format nbands return_obj xsize ysize",17
"gdalraster","create","dataType dst_filename format nbands xsize ysize",10
"gdalraster","create","dataType dst_filename format nbands options return_obj xsize ysize",3
"gdalraster","create","return_obj",3
"gdalraster","create","dataType dst_filename format nbands options xsize ysize",1
"gdalraster","create","dataType nbands options return_obj",1
"gdalraster","create","dataType nbands options return_obj xsize ysize",1
"gdalraster","createColorRamp","end_color end_index start_color start_index",2
"gdalraster","createCopy","dst_filename format src_filename",6
"gdalraster","createCopy","dst_filename format return_obj src_filename",4
"gdalraster","createCopy","return_obj",3
"gdalraster","createCopy","dst_filename format options return_obj src_filename",2
"gdalraster","createCopy","dst_filename format options src_filename",2
"gdalraster","createCopy","dst_filename format quiet src_filename",1
"gdalraster","createCopy","dst_filename format src_filename strict",1
"gdalraster","dem_proc","color_file",1
"gdalraster","displayRAT","title",2
"gdalraster","dt_find","bits is_floating is_signed",2
"gdalraster","dt_find_for_value","is_complex",1
"gdalraster","dt_size","as_bytes",4
"gdalraster","epsg_to_wkt","pretty",2
"gdalraster","fillNodata","band",3
"gdalraster","fillNodata","band mask_file",1
"gdalraster","g_add_geom","as_wkb",3
"gdalraster","g_add_geom","as_iso",2
"gdalraster","g_add_geom","byte_order",2
"gdalraster","g_boundary","as_wkb",3
"gdalraster","g_boundary","as_iso as_wkb byte_order quiet",1
"gdalraster","g_buffer","as_wkb dist",2
"gdalraster","g_buffer","dist",2
"gdalraster","g_buffer","as_iso as_wkb byte_order dist quad_segs quiet",1
"gdalraster","g_buffer","as_iso as_wkb byte_order dist quiet",1
"gdalraster","g_buffer","as_wkb",1
"gdalraster","g_buffer","dist geom",1
"gdalraster","g_build_collection","as_wkb",4
"gdalraster","g_build_collection","byte_order",3
"gdalraster","g_build_collection","coll_type",3
"gdalraster","g_build_collection","as_iso",2
"gdalraster","g_build_polygon_from_edges","as_wkb",3
"gdalraster","g_build_polygon_from_edges","byte_order",3
"gdalraster","g_build_polygon_from_edges","as_iso",2
"gdalraster","g_build_polygon_from_edges","auto_close",2
"gdalraster","g_build_polygon_from_edges","tolerance",2
"gdalraster","g_concave_hull","allow_holes as_wkb ratio",3
"gdalraster","g_concave_hull","allow_holes ratio",3
"gdalraster","g_concave_hull","allow_holes as_iso as_wkb byte_order quiet ratio",1
"gdalraster","g_concave_hull","ratio",1
"gdalraster","g_convex_hull","as_wkb",5
"gdalraster","g_convex_hull","as_iso as_wkb byte_order quiet",1
"gdalraster","g_create","as_wkb",7
"gdalraster","g_create","as_iso",2
"gdalraster","g_create","byte_order",2
"gdalraster","g_delaunay_triangulation","as_wkb",5
"gdalraster","g_delaunay_triangulation","as_iso as_wkb byte_order only_edges quiet tolerance",1
"gdalraster","g_delaunay_triangulation","as_wkb constrained",1
"gdalraster","g_difference","as_wkb",6
"gdalraster","g_difference","as_iso as_wkb byte_order quiet",1
"gdalraster","g_envelope","as_3d",2
"gdalraster","g_geodesic_area","traditional_gis_order",1
"gdalraster","g_geodesic_length","traditional_gis_order",1
"gdalraster","g_get_geom","as_wkb",4
"gdalraster","g_intersection","as_wkb",4
"gdalraster","g_intersection","as_iso as_wkb byte_order quiet",1
"gdalraster","g_intersects","quiet",2
"gdalraster","g_is_empty","quiet",2
"gdalraster","g_is_valid","quiet",2
"gdalraster","g_make_valid","as_wkb",4
"gdalraster","g_make_valid","method quiet",2
"gdalraster","g_make_valid","as_iso as_wkb byte_order keep_collapsed method quiet",1
"gdalraster","g_make_valid","method",1
"gdalraster","g_name","quiet",2
"gdalraster","g_normalize","as_wkb",2
"gdalraster","g_normalize","as_wkb quiet",2
"gdalraster","g_normalize","as_iso as_wkb byte_order quiet",1
"gdalraster","g_segmentize","as_wkb max_length",4
"gdalraster","g_segmentize","as_iso as_wkb byte_order max_length quiet",1
"gdalraster","g_segmentize","max_length",1
"gdalraster","g_set_3D","is_3d",6
"gdalraster","g_set_3D","as_iso is_3d",4
"gdalraster","g_set_3D","as_wkb is_3d",2
"gdalraster","g_set_3D","byte_order is_3d",2
"gdalraster","g_set_3D","is_3d quiet",2
"gdalraster","g_set_measured","is_measured",6
"gdalraster","g_set_measured","as_iso is_measured",4
"gdalraster","g_set_measured","as_wkb is_measured",2
"gdalraster","g_set_measured","byte_order is_measured",2
"gdalraster","g_set_measured","is_measured quiet",2
"gdalraster","g_simplify","as_wkb tolerance",5
"gdalraster","g_simplify","as_iso as_wkb byte_order preserve_topology quiet tolerance",1
"gdalraster","g_simplify","as_wkb preserve_topology tolerance",1
"gdalraster","g_simplify","tolerance",1
"gdalraster","g_swap_xy","as_wkb",3
"gdalraster","g_swap_xy","as_wkb quiet",2
"gdalraster","g_swap_xy","as_iso as_wkb byte_order quiet",1
"gdalraster","g_sym_difference","as_wkb",4
"gdalraster","g_sym_difference","as_iso as_wkb byte_order quiet",1
"gdalraster","g_transform","as_wkb srs_from srs_to",3
"gdalraster","g_transform","srs_from srs_to",3
"gdalraster","g_transform","as_wkb",2
"gdalraster","g_transform","traditional_gis_order",2
"gdalraster","g_transform","as_iso as_wkb byte_order date_line_offset quiet traditional_gis_order wrap_date_line",1
"gdalraster","g_transform","as_wkb wrap_date_line",1
"gdalraster","g_unary_union","as_wkb",5
"gdalraster","g_unary_union","as_iso as_wkb byte_order quiet",1
"gdalraster","g_union","as_wkb",4
"gdalraster","g_union","as_iso as_wkb byte_order quiet",1
"gdalraster","g_wk2wk","as_iso",7
"gdalraster","gdal_alg","parse",1
"gdalraster","gdal_commands","cout",3
"gdalraster","gdal_commands","recurse",2
"gdalraster","gdal_commands","cout recurse",1
"gdalraster","gdal_run","close quiet",1
"gdalraster","gdal_run_piped","other_args output_format output_index",4
"gdalraster","gdal_run_piped","outputLayerNameForOpen",1
"gdalraster","identifyDriver","allowed_drivers",2
"gdalraster","identifyDriver","raster",2
"gdalraster","identifyDriver","file_list",1
"gdalraster","identifyDriver","vector",1
"gdalraster","inspectDataset","vector",1
"gdalraster","inv_project","pts srs well_known_gcs",12
"gdalraster","inv_project","srs well_known_gcs",1
"gdalraster","is_los_visible","ZinterpA ZinterpB band quiet srsA srsB",16
"gdalraster","is_los_visible","ZinterpB srsB",4
"gdalraster","is_los_visible","srsA",2
"gdalraster","is_los_visible","ZinterpA",1
"gdalraster","is_los_visible","ZinterpA ZinterpB",1
"gdalraster","is_los_visible","srsB",1
"gdalraster","make_chunk_index","block_xsize block_ysize gt max_pixels raster_xsize raster_ysize",3
"gdalraster","mdim_as_classic","read_only view_expr",2
"gdalraster","mdim_as_classic","read_only",1
"gdalraster","mdim_info","cout",2
"gdalraster","mdim_info","allowed_drivers detailed limit open_options pretty",1
"gdalraster","mdim_info","array_options",1
