package,fun,calls,files,sources
rasterio,rasterio.open,923,122,doc+source+test
geopandas,GeoDataFrame,460,32,doc+source+test
geopandas,GeoSeries,413,32,doc+source+test
rasterio,src.read,204,51,doc+source+test
pyogrio,read_dataframe,187,3,test
geopandas,read_file,152,18,doc+source+test
geopandas,geopandas.GeoDataFrame,101,15,doc+docstring+source+test
rasterio,dst.write,93,28,source+test
rasterio,rasterio.Env,87,33,source+test
pyogrio,write_dataframe,83,1,test
rioxarray,rioxarray.open_rasterio,79,10,doc+test
geopandas,df.plot,63,6,doc+docstring+test
geopandas,geopandas.read_file,56,22,doc+docstring+test
rasterio,windows.Window.from_slices,51,2,test
pyogrio,read_arrow,50,1,test
rasterio,rasterio.band,45,7,source+test
geopandas,geopandas.GeoSeries,39,10,docstring+source+test
pyogrio,read_info,37,4,test
pyogrio,write_arrow,35,2,source+test
rasterio,windows.Window,32,10,source+test
geopandas,GeoSeries.from_wkt,30,4,test
rioxarray,rds.isel,27,4,doc+test
rioxarray,xr.DataArray,26,2,test
geopandas,df.set_geometry,26,5,source+test
geopandas,df.copy,26,8,source+test
rasterio,src.overviews,25,2,doc+test
rasterio,dst.read,25,12,test
rasterio,dataset.read,25,7,source+test
geopandas,geopandas.read_parquet,25,1,test
geopandas,geopandas.points_from_xy,23,6,doc+docstring+test
geopandas,df.to_parquet,23,1,test
rasterio,src.read_masks,21,9,doc+source+test
rasterio,merge,21,2,test
pyogrio,list_layers,21,4,test
pyogrio,read_bounds,21,1,test
rasterio,src.tags,19,6,doc+source+test
geopandas,df.to_file,19,1,test
rasterio,src.window,18,4,source+test
geopandas,df.to_crs,17,4,doc+test
pyogrio,pyogrio.read_dataframe,17,1,test
geopandas,GeoDataFrame.from_file,16,3,source+test
geopandas,gdf.to_arrow,16,3,docstring+test
geopandas,GeoDataFrame.from_arrow,16,1,test
rasterio,src.window_transform,15,3,source+test
geopandas,gdf.to_parquet,15,3,docstring+source+test
geopandas,df.reindex,15,2,test
geopandas,GeoSeries.from_xy,15,3,test
pyogrio,open_arrow,15,3,docstring+source+test
rasterio,transform,14,4,source+test
rasterio,src.block_windows,14,7,test
pyogrio,list_drivers,14,4,test
rasterio,mask,13,1,test
geopandas,df.explode,13,1,test
geopandas,GeoSeries.from_wkb,13,3,test
geopandas,GeoDataFrame.from_features,13,2,source+test
geopandas,gdf.dissolve,13,1,test
rasterio,rasterio.env.Env,12,1,test
rasterio,src.sample,12,2,source+test
rasterio,windows.intersect,12,1,test
rasterio,windows.from_bounds,12,4,source+test
geopandas,df.explore,12,1,test
geopandas,geopandas.array.from_wkt,12,1,test
rasterio,rasterio.shutil.copy,11,4,source+test
rasterio,src.dataset_mask,11,1,test
rioxarray,xds.rio.to_raster,11,3,doc+test
geopandas,gpd.read_file,11,4,doc+test
geopandas,df.drop,11,5,doc+source+test
geopandas,df.rename_geometry,11,6,docstring+source+test
geopandas,df.groupby,11,2,source+test
geopandas,df.apply,11,2,test
geopandas,df.iterfeatures,11,2,source+test
pyogrio,set_gdal_config_options,11,4,test
rasterio,dst.write_mask,10,4,source+test
rasterio,src.checksum,10,4,source+test
rasterio,src.index,10,2,test
rasterio,src.window_bounds,10,4,test
rasterio,dst.update_tags,10,4,doc+source+test
rioxarray,xds.analysed_sst.rio.set_spatial_dims,10,1,test
rasterio,src.build_overviews,9,1,test
rasterio,rasterio.shutil.exists,9,5,source+test
rasterio,windows.get_data_window,9,2,source+test
rasterio,dst.tags,9,3,source+test
geopandas,gdf.to_file,9,4,doc+docstring+source+test
geopandas,df.sindex.nearest,9,1,test
pyogrio,pyogrio.raw.read,9,1,test
pyogrio,pyogrio.read_info,9,1,test
pyogrio,pyogrio.read_bounds,9,1,test
rasterio,dataset.write,8,4,test
rasterio,src.xy,8,2,test
rioxarray,rioxarray.set_options,8,2,docstring+test
rioxarray,xds.rio.set_spatial_dims,8,1,test
rioxarray,xds.rio.reproject,8,4,doc+test
geopandas,gdf.set_geometry,8,4,doc+docstring+test
geopandas,df.astype,8,3,test
geopandas,gdf.explode,8,1,test
rasterio,src.crs.to_epsg,7,5,source+test
rasterio,src.get_tag_item,7,1,test
rasterio,rasterio.windows.shape,7,1,test
rasterio,windows.intersection,7,1,test
rasterio,windows.bounds,7,4,source+test
rioxarray,xds.rio.transform,7,4,source+test
rioxarray,xds.rio.bounds,7,3,doc+source+test
geopandas,df.reset_index,7,5,source+test
geopandas,df.to_arrow,7,1,test
rasterio,dst.block_windows,6,4,source+test
rasterio,dataset.stats,6,1,test
rasterio,src.write,6,3,test
rasterio,windows.subdivide,6,2,source+test
geopandas,gdf.plot,6,2,doc+test
geopandas,df.set_index,6,3,source+test
geopandas,df.rename,6,2,test
geopandas,gdf.copy,6,2,source+test
rasterio,transform.from_bounds,5,2,source+test
rasterio,rasterio.MemoryFile,5,2,test
rasterio,src.meta.copy,5,3,test
rasterio,dst.build_overviews,5,4,doc+source+test
rasterio,rasterio.shutil.delete,5,3,source+test
rasterio,rasterio.shutil.copyfiles,5,2,source+test
rasterio,windows.union,5,3,source+test
rasterio,rasterio.warp.transform,5,2,source+test
rioxarray,xds.rio.clip_box,5,2,doc+test
geopandas,gdf.to_crs,5,4,doc+docstring+source
geopandas,gdf.to_feather,5,3,docstring+source+test
geopandas,geopandas.sjoin,5,4,source+test
geopandas,geopandas.clip,5,3,source+test
geopandas,gdf.to_json,5,2,docstring+test
geopandas,df.take,5,1,test
geopandas,df.set_crs,5,3,test
geopandas,GeoSeries.from_arrow,5,1,test
geopandas,gdf.columns.tolist,5,1,test
rasterio,rasterio.session.AWSSession,4,1,test
rasterio,rio.Env,4,1,test
rioxarray,raster.rio.write_nodata,4,2,doc+docstring
rioxarray,xds.rio.write_crs,4,3,source+test
rioxarray,rds.write,4,2,source+test
rioxarray,rds.rio.transform,4,2,test
rioxarray,xds.rio.estimate_utm_crs,4,2,doc+test
rioxarray,xds.plot,4,4,doc
geopandas,gdf.explore,4,2,doc+test
geopandas,geopandas.overlay,4,4,source+test
geopandas,geopandas.GeoSeries.from_wkt,4,3,docstring+test
geopandas,df.iterrows,4,3,test
geopandas,df.align,4,1,test
geopandas,gpd.GeoDataFrame,4,1,test
geopandas,df.geom_type.isin,4,1,source
rasterio,dataset.window_transform,3,2,source+test
rasterio,rasterio.gdal_version,3,3,test
rasterio,rasterio.vrt._boundless_vrt_doc,3,1,test
rasterio,dst.write_colormap,3,3,source+test
rasterio,src.profile.copy,3,3,test
rasterio,src.close,3,2,doc+test
rasterio,transform.tastes_like_gdal,3,1,test
rasterio,src.crs.to_string,3,2,source
rioxarray,rds.to_dataset,3,3,source+test
rioxarray,xds.rio.resolution,3,3,doc+source+test
rioxarray,rds.mean,3,1,test
rioxarray,rds.xy,3,1,test
rioxarray,rds.sel,3,2,doc+test
rioxarray,rds.rio.resolution,3,1,test
rioxarray,rds.read,3,1,test
rioxarray,rds.tags,3,1,test
rioxarray,rds.rio.to_raster,3,2,doc+test
geopandas,gdf.head,3,2,doc
geopandas,df.head,3,2,doc+docstring
geopandas,GeoSeries.from_file,3,2,source+test
geopandas,geopandas.read_postgis,3,2,docstring
geopandas,df._repr_html_,3,1,test
geopandas,df.equals,3,1,test
geopandas,df.to_json,3,1,test
geopandas,gdf.geom_type.isin,3,1,source
geopandas,df.geometry.to_file,3,1,test
geopandas,df.geometry.copy,3,1,test
geopandas,geopandas.read_feather,3,1,test
rasterio,transform.from_origin,2,2,source+test
rasterio,dataset.window,2,1,test
rasterio,dataset.window_bounds,2,1,test
rasterio,windows.Affine.scale,2,1,test
rasterio,windows.Affine.identity,2,1,test
rasterio,windows.Affine.translation,2,1,test
rasterio,dataset.statistics,2,1,test
rasterio,rasterio.windows.evaluate,2,1,test
rasterio,src.block_size,2,1,test
rasterio,src.tag_namespaces,2,1,test
rasterio,windows.transform,2,2,source+test
rasterio,ds.write,2,2,test
rasterio,transform.array_bounds,2,1,test
rasterio,transform.AffineTransformer,2,1,test
rasterio,dataset._env.enter_context,2,1,source
rasterio,dst.close,2,2,doc+source
rasterio,dst.overviews,2,1,source
rasterio,src.stats,2,1,source
rasterio,src.write_mask,2,1,doc
rasterio,features.rasterize,2,1,doc
rioxarray,rds.drop_vars,2,2,source+test
rioxarray,raster.where,2,2,doc+docstring
rioxarray,raster.rio.write_crs,2,1,docstring
rioxarray,xds.rio.write_coordinate_system,2,2,test
rioxarray,xds.to_netcdf,2,2,test
rioxarray,xds.isel,2,2,doc+test
rioxarray,xr.Variable,2,1,test
rioxarray,rds.rio.reproject,2,1,test
rioxarray,xds.rio.interpolate_na,2,2,doc+test
rioxarray,rds.air_temperature.rio.to_raster,2,1,test
rioxarray,xds.attrs.pop,2,1,test
rioxarray,xds.attrs.items,2,1,test
rioxarray,rds.green.rio.to_raster,2,1,doc
rioxarray,rds.blue.rio.to_raster,2,1,doc
geopandas,geopandas.sjoin_nearest,2,2,source+test
geopandas,GeoSeries._from_mgr,2,2,source
geopandas,df.crs.equals,2,2,source+test
geopandas,geopandas.GeoDataFrame.from_postgis,2,1,docstring
geopandas,gdf.set_crs,2,1,docstring
geopandas,gdf.astype,2,2,source+test
geopandas,gdf.geometry.isna,2,2,source+test
geopandas,gdf.columns.drop,2,1,source
geopandas,df.assign,2,2,test
geopandas,gdf.replace,2,1,test
geopandas,df.merge,2,2,test
geopandas,gdf.rename_geometry,2,2,test
geopandas,GeoDataFrame.from_dict,2,1,test
geopandas,gdf.crs.to_authority,2,2,source+test
geopandas,df.insert,2,2,source
geopandas,GeoDataFrame.from_postgis,2,1,test
geopandas,df.index.astype,2,1,test
pyogrio,pyogrio.write_dataframe,2,1,test
rasterio,dst.writerecords,1,1,source
rasterio,rasterio.transform.guard_transform,1,1,source
rasterio,dataset.update_stats,1,1,test
rasterio,dataset.clear_stats,1,1,test
rasterio,rasterio.control.GroundControlPoint,1,1,test
rasterio,rasterio.crs.CRS.from_epsg,1,1,test
rasterio,rasterio.plot.reshape_as_raster,1,1,test
rasterio,src.crs.to_dict,1,1,test
rasterio,rasterio.Env.from_defaults,1,1,test
rasterio,dst.colormap,1,1,test
rasterio,src.colormap,1,1,test
rasterio,rasterio.windows.window_index,1,1,test
rasterio,src.block_window,1,1,test
rasterio,dataset.name.startswith,1,1,test
rasterio,dataset.name.endswith,1,1,test
rasterio,dataset.crs.wkt.startswith,1,1,test
rasterio,dst.crs.to_epsg,1,1,test
rasterio,rasterio.transform.from_origin,1,1,test
rasterio,dataset.close,1,1,test
rasterio,src.profile.items,1,1,test
rasterio,mask.all,1,1,test
rasterio,rio.open,1,1,test
rasterio,src.write_colormap,1,1,test
rasterio,dst.meta.keys,1,1,test
rasterio,rasterio.features.rasterize,1,1,test
rasterio,dst.checksum,1,1,test
rasterio,rasterio.pad,1,1,test
rasterio,src._has_band,1,1,test
rasterio,transform.translation,1,1,test
rasterio,rasterio.merge.merge,1,1,test
