"package","fun","calls","files","sources"
"sf","c",1523,103,"example+test+vignette"
"terra","[",641,118,"example+test"
"sf","st_sfc",568,84,"example+test+vignette"
"sf","st_point",464,74,"example+test+vignette"
"terra","rast",452,259,"example+test"
"sf","[",431,56,"example+test+vignette"
"sf","$",427,44,"example+test+vignette"
"stars","c",393,55,"example+test+vignette"
"geos","c",388,22,"example+test"
"sf","list",374,56,"example+test+vignette"
"sf","plot",329,33,"example+test+vignette"
"terra","values",326,116,"example+test"
"stars","[",280,48,"example+test+vignette"
"sf","matrix",236,43,"example+test+vignette"
"terra","vect",208,108,"example+test"
"sf","st_crs",205,38,"example+test+vignette"
"sf","st_read",205,45,"example+test+vignette"
"sf","st_linestring",189,42,"example+test+vignette"
"sf","rbind",187,44,"example+test+vignette"
"terra","plot",173,78,"example"
"stars","plot",164,37,"example+test+vignette"
"sf","st_sf",162,48,"example+test+vignette"
"tmap","+",156,31,"example"
"sf","st_cast",148,16,"example+test+vignette"
"stars","st_as_stars",148,47,"example+test+vignette"
"gdalraster","deleteDataset",143,43,"example+test"
"sf","st_as_sfc",139,34,"example+test+vignette"
"sf","st_polygon",132,40,"example+test+vignette"
"stars","read_stars",127,48,"example+test+vignette"
"sf","st_geometry",122,37,"example+test+vignette"
"sf","st_write",122,10,"example+test+vignette"
"geos","geos_write_wkt",118,11,"example+test"
"terra","ncell",117,78,"example+test"
"gdalraster","g_wk2wk",113,13,"example+test+vignette"
"terra","ext",112,47,"example+test"
"sf","st_as_sf",102,37,"example+test+vignette"
"geos","as_geos_geometry",96,21,"example+test"
"gdalraster","gdal_version_num",90,39,"example+test+vignette"
"terra","!",89,11,"example+test"
"terra","nrow",89,28,"example+test"
"sf","st_transform",88,37,"example+test+vignette"
"terra","cbind",88,49,"example+test"
"tmap","tm_shape",88,30,"example"
"s2","s2_options",87,6,"example+test"
"s2","s2_cell",83,3,"example+test"
"stars","st_dimensions",80,24,"example+test+vignette"
"stars","st_bbox",78,24,"example+test+vignette"
"gdalraster","gdal_compute_version",77,39,"example+test+vignette"
"terra","[[",77,23,"example+test"
"s2","expect_wkt_equal",76,6,"test"
"gdalraster","g_create",75,12,"example+test+vignette"
"s2","as_s2_geography",75,9,"test"
"terra","round",73,12,"example+test"
"terra","extract",72,9,"example+test"
"gdalraster","epsg_to_wkt",71,15,"example+test+vignette"
"terra","names",70,30,"example+test"
"s2","s2_area",67,5,"example+test"
"sf","st_multilinestring",67,23,"example+test+vignette"
"sf","st_bbox",66,20,"example+test+vignette"
"stars","print",66,15,"example+test"
"sf","cbind",65,21,"example+test+vignette"
"sf","print",65,19,"example+test+vignette"
"sf","st_geometrycollection",64,21,"example+test+vignette"
"sf","st_multipoint",63,22,"example+test+vignette"
"terra","rbind",63,27,"example+test"
"sf","st_buffer",59,15,"example+test+vignette"
"stars","st_as_sfc",59,19,"example+test+vignette"
"gdalraster","ogr_def_field",57,6,"example+test+vignette"
"sf","guess_driver",56,1,"test"
"sf","data.frame",54,28,"example+test+vignette"
"stars","list",53,22,"example+test+vignette"
"terra","lines",53,27,"example"
"gdalraster","print",49,23,"example+test+vignette"
"stars","st_crs",49,19,"example+test+vignette"
"s2","s2_lnglat",48,11,"example+test"
"tmap","tm_polygons",48,20,"example"
"gdalraster","set_config_option",47,15,"example+test+vignette"
"stars","aggregate",47,7,"example+test+vignette"
"stars","read_ncdf",47,9,"example+test+vignette"
"gdalraster","g_equals",46,2,"test"
"geos","geos_read_wkt",46,9,"example+test"
